year,month,MKT,REG,PEAD,HMLM,STR,ILR,SMB,EPRD
1990,9,-0.0612,0.026916,0.0416,-0.016414835,-0.0598,0.082697,-0.0374,0.016839
1990,10,-0.0192,0.030868,0.0282,-0.034110748,-0.0268,0.008852,-0.0507,0.032013
1990,11,0.0635,-0.008148,0.0112,-0.002158865,0.0585,0.011547,4.00E-04,0.08249
1990,12,0.0246,0.015238,-0.0063,-0.015567933,-0.0301,-0.015653,0.0064,0.04256
1991,1,0.0469,0.01585,0.0494,0.011330965,-0.0193,0.005447,0.0389,0.006593
1991,2,0.0719,-0.006823,-0.0127,0.029900136,0.0193,0.014931,0.0401,0.010646
1991,3,0.0265,0.001004,0.0262,-0.009966162,0.0052,-0.00579,0.0382,0.056906
1991,4,-0.0028,0.006058,0.0076,0.008546303,0.0157,-0.018093,0.0032,-0.008885
1991,5,0.0365,-0.010608,0.0071,-0.006373738,8.00E-04,-0.038621,0.0012,0.013419
1991,6,-0.0494,0.004787,0.0018,0.014223644,0.0206,-0.029757,0.0026,-0.007822
1991,7,0.0424,0.003612,0.01,-0.023593738,0.0214,-0.011978,-0.0096,0.035434
1991,8,0.0232,-0.002482,0.0124,-0.01733973,-0.0292,0.049772,0.0141,0.048462
1991,9,-0.0159,0.002138,0.0017,-0.004103058,-0.0076,0.027544,0.0156,0.024312
1991,10,0.0129,0.032052,0.0143,-0.00672113,-0.0118,0.012914,0.009,0.013515
1991,11,-0.0419,0.004173,0.0226,-0.01228664,-0.004,-0.003126,-0.0084,0.072878
1991,12,0.1084,-0.004691,0.0273,-0.071835977,0.0106,0.00045,-0.024,0.124933
1992,1,-0.0059,0.01542,-0.0204,0.044832172,0.0522,-0.001151,0.0919,-0.050701
1992,2,0.0109,0.022073,0.0195,0.032843368,-0.029,0.047439,0.0134,-0.033637
1992,3,-0.0266,0.019936,0.0052,0.029767867,-0.0109,0.040762,-0.0093,-0.044178
